text,language,label
Is it true that artemisinin is becoming resistant to other treatments for malaria?,english,True
What is the evidence that light drinking during pregnancy may be associated with adverse outcomes for the developing baby?,english,True
The inevitability of biological ageing is a topic of ongoing debate.,english,True
Do you think stopping an antibiotic course early can contribute to the development of antibiotic resistance?,english,False
The overwhelming consensus from multiple large-scale studies and meta-analyses is that there is no evidence to support the claim that vaccinating infants causes autism.,english,False
"Intermittent fasting is a promising dietary approach with multiple health benefits, including weight loss, improved metabolic health, and reduced risk of cardiovascular disease and type 2 diabetes.",english,True
Emotional Intelligence (EI) has garnered significant attention in both academic and popular contexts.,english,True
"Influenza vaccines are generally effective in reducing the incidence of influenza, influenza-like illness, and related complications across various age groups and settings.",english,True
Celiac disease (CD) is an autoimmune disorder where the ingestion of gluten leads to damage in the small intestine.,english,False
Vaccination is one of the most effective ways to prevent and control infectious diseases.,english,True
"Bisphenol A (BPA) is a synthetic chemical widely used in the production of plastics and epoxy resins, which are commonly found in food and beverage containers.",english,False
"A high-fiber diet is beneficial for the gut microbiota, according to research.",english,True
Can marijuana harm the brain?,english,True
How does anxiety affect health?,english,True
Can medical experts please verify this claim?,english,True
Each day we ask a different expert a question about a specific subject.,english,True
What is the relationship between moderate alcohol consumption and cancer risk?,english,True
"Intelligence is highly heritable, with estimates suggesting that genetic factors account for a significant portion of the variation in cognitive abilities among individuals. Intelligence is highly heritable, with estimates suggesting that genetic factors account for a significant portion of the variation in cognitive abilities among individuals.",english,True
"Longevity, the ability to live a long life, is a complex trait influenced by a myriad of factors.",english,False
"The quest to break the 2-hour marathon barrier has captivated the athletic world, with scientists, athletes, and enthusiasts debating its feasibility.",english,True
"Omega-3 fatty acids, commonly found in fish oils, have been extensively studied for their potential health benefits, particularly in relation to cardiovascular health.",english,True
"The meaning of recurring dreams is multifaceted and can be understood through various lenses, including evolutionary functions, psychological well-being, and creative processes.",english,True
"Polygraph tests can provide some insights into a person’s physiological responses during questioning, but they are far from being the most accurate way to determine if someone is telling the truth.",english,False
"Why is the initial age of puberty getting younger and younger, is this true?",english,True
Intelligence is a complex trait influenced by both genetic and environmental factors.,english,True
Does insufficient sleep increase the risk of developing type 2 diabetes?,english,True
